,COMPANY,TICKER
795,Nektar Therapeutics,NKTR
796,Rollins Inc.,ROL
797,SVB Financial,SIVB
798,Take-Two Interactive,TTWO
799,"Twitter, Inc.",TWTR
800,WellCare,WCG
801,Welltower Inc.,WELL
802,Amcor plc,AMCR
803,Atmos Energy Corp,ATO
804,Baker Hughes Co,BKR
805,Capri Holdings,CPRI
806,CDW,CDW
807,Corteva,CTVA
808,First Republic Bank,FRC
809,Globe Life Inc.,GL
810,Healthpeak Properties,PEAK
811,IDEX Corporation,IEX
812,Jacobs Engineering Group,J
813,L3Harris Technologies,LHX
814,Las Vegas Sands,LVS
815,Leidos Holdings,LDOS
816,Live Nation Entertainment,LYV
817,MarketAxess,MKTX
818,NortonLifeLock,NLOK
819,NVR Inc,NVR
820,Old Dominion Freight Line,ODFL
821,ServiceNow,NOW
822,STERIS plc,STE
823,T-Mobile US,TMUS
824,Teleflex,TFX
825,Truist Financial,TFC
826,ViacomCBS,VIAC
827,W. R. Berkley Corporation,WRB
828,Wabtec Corporation,WAB
829,Zebra Technologies,ZBRA
830,MSCI,MXB
831,Joy Global Inc.,JOYG
832,Howmet Aerospace,HWM
833,Paycom,PAYC
834,Carrier Global,CARR
835,DexCom,DXCM
836,Domino's Pizza,DPZ
837,Otis Worldwide,OTIS
838,Raytheon Technologies,RTX
839,West Pharmaceutical Services,WST
840,SAIC,SAIC
841,Comcast Special Corp Class A,CMCSK
842,Under Armour,UA.C
